country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
PAK,2024,1365.27743222493,337912301397.727,12.6325318530452,84.5,41.6,42.9981734249878,2.15096901573444,85.1791001521349
PAN,2024,18686.4050961265,83318176900.0,0.685197879812108,12.9,28.0,11.4700607490209,4.77300970965239,31.410115085988
PER,2024,7906.58502858,267603248655.253,2.00770739412712,32.2,30.6,27.0356284968814,2.77875566576316,53.1680032411079
PHL,2024,3804.8725797521,437146372729.942,3.21260487006347,55.3,28.0,20.2887417122616,2.22947625431257,58.2412762588087
PLW,2024,15899.4224911152,281849062.5,2.23172772921704,,0.9,7.32770979431049,84.7125853218255,
PNG,2024,2957.68262498549,30729242919.4411,0.602403921107917,,54.6,17.3105425567239,0.927944051932527,
POL,2024,22056.6661704127,809200697797.088,3.7842600751287,0.9,15.2,17.9583314936851,9.91606562621184,60.900112665714
PRE,2024,1453.26226755311,1566942319113.72,6.53322640452533,,73.8634177768668,40.7072055821173,1.78780865268782,100.031045788083
PRI,2024,36779.0594913858,117902300000.0,,,2.5,7.18841521712249,5.01108809301957,
PRT,2024,27331.2094945255,289114289663.542,2.41613187791884,1.7,32.3,8.45242266236737,5.01075138298916,44.4251548088679
PRY,2024,6276.35113919957,42956263543.9482,3.83540271728533,19.9,58.8,10.0891599097852,6.08178142313153,68.4825410882595
PSS,2024,4146.4362061875,11150695760.1484,7.92164684826777,,29.6534541062802,12.8773179905891,2.77745550389257,
PST,2024,54041.539692952,60485245420468.7,5.09396758978883,,14.5020753978714,11.0001508829467,11.2941929866757,72.0009430092309
PYF,2024,20738.6499971661,5814661208.90544,,,7.0,,4.88976159477515,
QAT,2024,80195.874646942,213002809330.267,1.26734310292375,0.0,0.0,75.6630329481338,58.125655112589,145.403918735157
ROU,2024,18404.2730871704,350775856415.189,-4.5191101423114,7.1,23.6,14.8501731264834,5.55379294470746,42.0461033497594
RUS,2024,13817.0458984375,2021421476035.42,6.69445891957612,2.0,3.5,11.2727775886895,18.5782611268203,143.910259609799
RWA,2024,1010.2689290184,14097768472.1883,1.77029240198635,92.2,79.9,31.2882654917538,0.536982018164644,129.067911480433
